Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Highest education level completed,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69b2a6d92401c98c4f9a7958,6772635d620fb499e8d268e6,RETURNED,Not Applicable,2026-03-12T11:43:35.822000Z,,,,,,1899,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69b2a7054630ae3036b771f8,62a889993e01c9e01ee7066e,RETURNED,Not Applicable,2026-03-12T11:44:08.879000Z,,,,,,14986,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69b2acf890e01fd1bf07202f,5c852c65f8e57d00158a12ca,RETURNED,Not Applicable,2026-03-12T12:16:58.332000Z,,,,,,3851,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69b2ade20e7259dbe87084a7,67ee795beb74f4d224497dac,RETURNED,Not Applicable,,,,,,,3667,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69b2ae58a7ca78e620eb25c4,6658c4239af9537eefdfbcc9,RETURNED,Not Applicable,2026-03-12T12:15:30.599000Z,,,,,,6374,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69b2af93542a905a2a494df2,568aab53316b10000d50d76b,RETURNED,Not Applicable,2026-03-12T12:20:38.775000Z,,,,,,4370,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69b2b179a97551a8ba27894e,6765e4378ca57f3d9246fe5e,RETURNED,Not Applicable,2026-03-12T12:29:27.586000Z,,,,,,1191,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69b2b22f1ed7abe3a511a85d,6883a8504728f57551e8c82b,RETURNED,Not Applicable,2026-03-12T12:32:27.857000Z,,,,,,1515,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69b2b411406696e7bcdcc480,602d25c3cc46516b77b98c28,RETURNED,Not Applicable,2026-03-12T12:39:50.789000Z,2026-03-12T13:37:58.343000Z,,2026-03-12T13:37:58.716000Z,,NOCODE,475,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69b2b5faf201a1bf4ce49a58,67e0875cac594a7d8175c644,RETURNED,Not Applicable,2026-03-12T12:48:11.538000Z,2026-03-12T12:48:56.320000Z,,2026-03-12T12:48:56.793000Z,,C14M9CAH,2565,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
